Symbol,Count,Probability,Information
"('who-has', '192.168.1.59')",1,0.00022935779816513763,12.090112419664289
"('who-has', '192.168.1.39')",22,0.005045871559633028,7.630680801026991
"('who-has', '192.168.1.56')",22,0.005045871559633028,7.630680801026991
"('who-has', '192.168.1.35')",57,0.013073394495412845,6.257222405499547
"('who-has', '192.168.1.51')",20,0.0045871559633027525,7.768184324776926
"('who-has', '192.168.1.58')",10,0.0022935779816513763,8.768184324776927
"('who-has', '192.168.1.40')",4,0.0009174311926605505,10.090112419664289
"('who-has', '192.168.1.38')",5,0.0011467889908256881,9.768184324776927
"('who-has', '192.168.1.49')",18,0.004128440366972477,7.920187418221977
"('who-has', '192.168.1.55')",31,0.0071100917431192664,7.135916109277414
"('who-has', '192.168.1.53')",172,0.03944954128440367,4.663847664962191
"('who-has', '192.168.1.67')",27,0.006192660550458716,7.33522491750082
"('who-has', '192.168.1.54')",14,0.003211009174311927,8.282757497606685
"('who-has', '192.168.1.63')",3,0.0006880733944954129,10.505149918943133
"('who-has', '192.168.1.37')",10,0.0022935779816513763,8.768184324776927
"('who-has', '184.73.98.190')",5,0.0011467889908256881,9.768184324776927
"('who-has', '192.168.1.33')",44,0.010091743119266056,6.630680801026991
"('who-has', '192.168.1.64')",3,0.0006880733944954129,10.505149918943133
"('who-has', '192.168.1.2')",30,0.006880733944954129,7.18322182405577
"('who-has', '169.254.255.255')",26,0.005963302752293578,7.389672701523196
"('who-has', '192.168.1.60')",1,0.00022935779816513763,12.090112419664289
"('who-has', '192.168.1.36')",4,0.0009174311926605505,10.090112419664289
"('who-has', '192.168.1.41')",13,0.002981651376146789,8.389672701523196
"('who-has', '192.168.1.57')",1,0.00022935779816513763,12.090112419664289
"('who-has', '192.168.1.43')",1,0.00022935779816513763,12.090112419664289
"('who-has', '192.168.1.1')",3810,0.8738532110091743,0.19453713728360428
"('who-has', '192.168.1.52')",6,0.0013761467889908258,9.505149918943133
